TimeStamp;Axe;Boat;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead
0;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1005.5, 16.7, 560.4);(1005.2, 16.7, 560.7);(1019.8, 14.6, 638.5);(1004.7, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.02;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1005.5, 16.7, 560.4);(1005.2, 16.7, 560.7);(1019.8, 14.6, 638.5);(1004.7, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.04;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.2);(1019.8, 14.6, 638.4);(1004.7, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.06;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.2);(1019.8, 14.6, 638.4);(1004.7, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.08;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.6, 638.4);(1004.7, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.09999999;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.6, 638.4);(1004.7, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.12;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.6, 638.4);(1004.8, 17.4, 560.2);(977.5, 19.1, 634.9);(970.7, 20.2, 632.6)
0.14;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.5, 638.4);(1004.8, 17.4, 560.2);(977.5, 19.0, 634.9);(970.7, 20.2, 632.6)
0.16;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.5, 560.3);(1019.8, 14.5, 638.4);(1004.8, 17.4, 560.2);(977.5, 19.0, 634.9);(970.7, 20.2, 632.6)
0.18;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.5, 560.3);(1019.8, 14.5, 638.4);(1004.8, 17.4, 560.2);(977.5, 19.0, 634.9);(970.7, 20.2, 632.6)
0.2;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.5, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.22;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.24;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.26;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.28;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.3;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.32;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.8, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.34;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
